Designator,Mid X,Mid Y,Rotation,Layer
BT1,145.39186,-78.976836,0.0,bottom
CANT1,122.15,-81.75,90.0,top
CB1,144.7,-85.45,90.0,bottom
CB2,128.899999,-103.885158,270.0,bottom
CB3,139.85,-104.1625,270.0,bottom
CB4,145.849999,-101.085158,270.0,bottom
CB5,126.0,-81.75,90.0,top
CB6,125.624999,-89.810158,0.0,bottom
CC1,130.1,-84.9,270.0,bottom
CC2,132.95,-85.6125,270.0,bottom
CCOM1,128.6,-81.75,90.0,top
CIN1,150.35,-83.0,0.0,bottom
CIN2,140.65,-78.6,180.0,bottom
CIN3,141.799999,-90.635158,270.0,bottom
CIN4,136.6,-82.95,0.0,bottom
CIN5,129.15,-80.8,0.0,bottom
COUT1,150.35,-80.35,180.0,bottom
COUT2,141.25,-86.35,90.0,bottom
CPMP1,149.05,-86.55,90.0,top
CPMP2,147.25,-82.5,180.0,top
CS1,138.4,-90.6,180.0,bottom
CS2,131.749999,-103.885158,270.0,bottom
CS3,149.149999,-91.835158,270.0,top
CS4,141.35,-82.75,0.0,top
CS5,131.3,-71.65,0.0,top
CS6,150.299999,-91.485158,180.0,bottom
CS7,122.95,-81.0,180.0,bottom
CXTL1,136.1,-79.95,0.0,top
CXTL2,131.9,-82.7,0.0,top
D1,146.9,-73.175,90.0,bottom
D2,136.95,-104.55,90.0,bottom
DANT1,127.4,-71.55,180.0,top
FB1,126.15,-80.85,90.0,bottom
FB2,132.4,-81.35,270.0,bottom
IC1,150.042344,-86.492227,180.0,bottom
IC2,127.9,-75.75,90.0,top
IC3,147.588999,-95.985158,180.0,bottom
IC4,124.65,-85.4,0.0,bottom
J1,139.479354,-73.478253,180.0,bottom
J2,122.15,-110.065,180.0,top
J3,127.541042,-74.870829,180.0,bottom
LANT1,122.1,-85.9,270.0,top
LS1,136.766747,-109.926617,90.0,top
OLED1,136.468475,-86.519441,0.0,top
PS1,141.0,-81.9,180.0,bottom
RCC1,137.2,-79.8,270.0,bottom
RCC2,134.6,-79.25,270.0,bottom
RCLK1,123.099999,-103.885158,90.0,bottom
RD1,148.35,-104.7,0.0,bottom
RD2,143.85,-104.7,0.0,bottom
RFB1,145.55,-91.585158,180.0,bottom
RFB2,135.65,-86.35,270.0,bottom
RFB3,123.699999,-95.135158,0.0,bottom
RIN1,142.049999,-95.235158,270.0,bottom
RIN2,138.2,-86.35,270.0,bottom
RIN3,123.499999,-92.635158,0.0,bottom
RLED1,139.5,-71.7,0.0,top
RLED2,139.45,-97.5,270.0,bottom
RPRG1,145.55,-89.0,180.0,bottom
RREF1,136.15,-82.7,0.0,top
RRST0,121.799999,-98.685158,90.0,bottom
RRST1,150.449999,-96.985158,90.0,top
RRST2,144.5,-79.9,0.0,top
RSD1,142.849999,-101.035158,270.0,bottom
RSD2,124.599999,-98.685158,90.0,bottom
RSDA1,125.999999,-103.885158,90.0,bottom
RSEN1,139.65,-76.8,180.0,top
S1,150.8175,-74.25,270.0,bottom
S2,126.733455,-98.733923,270.0,top
S3,133.233455,-98.733923,270.0,top
S4,139.733455,-98.733923,270.0,top
S5,146.233455,-98.733923,270.0,top
U1,131.999999,-95.835158,180.0,bottom
Y1,131.85,-80.05,180.0,top
